#replica_num,sequence_num,w,w_nominal
1,90712,1.677389,114
1,90715,1.677389,114
1,90716,1.677389,114
1,90733,1.677389,114
1,90736,1.677389,114
1,90737,1.677389,114
1,90741,1.677389,114
1,90746,1.677389,114
1,90747,1.677389,114
1,90753,1.677389,114
1,90766,1.677389,114
1,90772,1.677389,114
1,90773,1.677389,114
1,90774,1.677389,114
1,90775,1.677389,114
1,90776,1.677389,114
1,90777,1.677389,114
1,90778,1.677389,114
1,90779,1.677389,114
1,90780,1.677389,114
1,90781,1.677389,114
1,90784,1.677389,114
1,90785,1.677389,114
1,90786,1.677389,114
1,90787,1.677389,114
1,90788,1.677389,114
1,90789,1.677389,114
1,90805,1.677389,114
1,90814,1.677389,114
1,90815,1.677389,114
1,90819,1.677389,114
1,90820,1.677389,114
1,90821,1.677389,114
1,90824,1.677389,114
1,90825,1.677389,114
1,90826,1.677389,114
1,90827,1.677389,114
1,90828,1.677389,114
1,90840,1.677389,114
1,90958,1.677389,114
1,90966,1.677389,114
1,90967,1.677389,114
1,90968,1.677389,114
1,90972,1.677389,114
1,90973,1.677389,114
1,90974,1.677389,114
1,90975,1.677389,114
1,90976,1.677389,114
1,90978,1.677389,114
1,90979,1.677389,114
1,90980,1.677389,114
1,90981,1.677389,114
1,90982,1.677389,114
1,90983,1.677389,114
1,90988,1.677389,114
1,90989,1.677389,114
8,89586,1.677389,114
8,89587,1.677389,114
8,89588,1.677389,114
8,89591,1.677389,114
8,89592,1.677389,114
8,89593,1.677389,114
8,89603,1.677389,114
8,89604,1.677389,114
8,89605,1.677389,114
8,89808,1.677389,114
8,89810,1.677389,114
8,89832,1.677389,114
8,90812,1.677389,114
8,90813,1.677389,114
8,90814,1.677389,114
8,90815,1.677389,114
8,90825,1.677389,114
8,90826,1.677389,114
8,90827,1.677389,114
8,90828,1.677389,114
8,90829,1.677389,114
8,90830,1.677389,114
8,90836,1.677389,114
8,90859,1.677389,114
8,90860,1.677389,114
8,90861,1.677389,114
8,90862,1.677389,114
8,90889,1.677389,114
8,90890,1.677389,114
8,90891,1.677389,114
8,90892,1.677389,114
8,90913,1.677389,114
8,90914,1.677389,114
8,90994,1.677389,114
8,90995,1.677389,114
8,90996,1.677389,114
8,90997,1.677389,114
8,90998,1.677389,114
8,90999,1.677389,114
8,91000,1.677389,114
8,91062,1.677389,114
8,91064,1.677389,114
8,91065,1.677389,114
8,91068,1.677389,114
8,91075,1.677389,114
8,91076,1.677389,114
8,91077,1.677389,114
8,91078,1.677389,114
8,91319,1.677389,114
8,91320,1.677389,114
8,91321,1.677389,114
8,91322,1.677389,114
8,91323,1.677389,114
8,91324,1.677389,114
8,91325,1.677389,114
20,91484,1.677389,114
20,91501,1.677389,114
20,91532,1.677389,114
20,91533,1.677389,114
20,91534,1.677389,114
20,91535,1.677389,114
20,91537,1.677389,114
20,91538,1.677389,114
20,91539,1.677389,114
20,91540,1.677389,114
20,91541,1.677389,114
20,91542,1.677389,114
20,91543,1.677389,114
20,91544,1.677389,114
20,91545,1.677389,114
20,91546,1.677389,114
20,91549,1.677389,114
20,91550,1.677389,114
20,91551,1.677389,114
20,91552,1.677389,114
22,89298,1.677389,114
22,89299,1.677389,114
22,89300,1.677389,114
22,89301,1.677389,114
22,89302,1.677389,114
22,89304,1.677389,114
22,89305,1.677389,114
22,89306,1.677389,114
22,89307,1.677389,114
22,89308,1.677389,114
22,89309,1.677389,114
22,89383,1.677389,114
22,89384,1.677389,114
22,89385,1.677389,114
22,89386,1.677389,114
22,89387,1.677389,114
22,89388,1.677389,114
22,90231,1.677389,114
22,90232,1.677389,114
22,90242,1.677389,114
22,90243,1.677389,114
22,90244,1.677389,114
22,90245,1.677389,114
22,90246,1.677389,114
22,90247,1.677389,114
22,90248,1.677389,114
22,90249,1.677389,114
22,90252,1.677389,114
22,90253,1.677389,114
22,90254,1.677389,114
22,90255,1.677389,114
22,90256,1.677389,114
22,90257,1.677389,114
22,90258,1.677389,114
22,90263,1.677389,114
22,90264,1.677389,114
22,90268,1.677389,114
22,90287,1.677389,114
22,90288,1.677389,114
22,90289,1.677389,114
22,90290,1.677389,114
22,90291,1.677389,114
22,90292,1.677389,114
22,90293,1.677389,114
22,90294,1.677389,114
22,90295,1.677389,114
22,90296,1.677389,114
22,90297,1.677389,114
22,90304,1.677389,114
22,90305,1.677389,114
22,90306,1.677389,114
22,90307,1.677389,114
22,90308,1.677389,114
22,90451,1.677389,114
22,90452,1.677389,114
22,90554,1.677389,114
22,90555,1.677389,114
22,90556,1.677389,114
22,90557,1.677389,114
22,90561,1.677389,114
22,90562,1.677389,114
22,90569,1.677389,114
22,90627,1.677389,114
22,90628,1.677389,114
22,90629,1.677389,114
22,90630,1.677389,114
22,90631,1.677389,114
22,90632,1.677389,114
22,90633,1.677389,114
22,90634,1.677389,114
22,90855,1.677389,114
22,90856,1.677389,114
22,90857,1.677389,114
22,90883,1.677389,114
22,91049,1.677389,114
22,91050,1.677389,114
22,91117,1.677389,114
22,91118,1.677389,114
22,91119,1.677389,114
22,91120,1.677389,114
22,91121,1.677389,114
22,91122,1.677389,114
22,91123,1.677389,114
22,91124,1.677389,114
22,91125,1.677389,114
22,91126,1.677389,114
22,91164,1.677389,114
22,91165,1.677389,114
22,91166,1.677389,114
22,91173,1.677389,114
22,91174,1.677389,114
22,91176,1.677389,114
22,91177,1.677389,114
22,91178,1.677389,114
22,91179,1.677389,114
22,91180,1.677389,114
22,91204,1.677389,114
22,91205,1.677389,114
22,91206,1.677389,114
22,91207,1.677389,114
22,91214,1.677389,114
22,91215,1.677389,114
22,91216,1.677389,114
22,91237,1.677389,114
22,91250,1.677389,114
22,91251,1.677389,114
22,91252,1.677389,114
22,91253,1.677389,114
22,91254,1.677389,114
22,91255,1.677389,114
22,91256,1.677389,114
22,91257,1.677389,114
22,91258,1.677389,114
22,91259,1.677389,114
22,91260,1.677389,114
22,91261,1.677389,114
22,91262,1.677389,114
22,91263,1.677389,114
22,91266,1.677389,114
22,91268,1.677389,114
32,90130,1.677389,114
32,90134,1.677389,114
32,90135,1.677389,114
32,90153,1.677389,114
32,90496,1.677389,114
32,90498,1.677389,114
32,90499,1.677389,114
32,90500,1.677389,114
32,90501,1.677389,114
32,90502,1.677389,114
32,90507,1.677389,114
32,90508,1.677389,114
32,90509,1.677389,114
32,90510,1.677389,114
32,90511,1.677389,114
32,90512,1.677389,114
32,90514,1.677389,114
32,90523,1.677389,114
32,90524,1.677389,114
32,90525,1.677389,114
32,90526,1.677389,114
32,90527,1.677389,114
32,90528,1.677389,114
32,90529,1.677389,114
32,90530,1.677389,114
32,90531,1.677389,114
32,90532,1.677389,114
32,90552,1.677389,114
32,90561,1.677389,114
32,90562,1.677389,114
32,90563,1.677389,114
32,90564,1.677389,114
32,90594,1.677389,114
32,90920,1.677389,114
32,90921,1.677389,114
32,90922,1.677389,114
32,90923,1.677389,114
32,90941,1.677389,114
32,90942,1.677389,114
32,90943,1.677389,114
32,90944,1.677389,114
32,90945,1.677389,114
32,90968,1.677389,114
32,90970,1.677389,114
32,90971,1.677389,114
32,90972,1.677389,114
32,90999,1.677389,114
32,91009,1.677389,114
32,91012,1.677389,114
32,91013,1.677389,114
32,91023,1.677389,114
32,91024,1.677389,114
32,91025,1.677389,114
32,91026,1.677389,114
32,91027,1.677389,114
32,91028,1.677389,114
32,91029,1.677389,114
32,91030,1.677389,114
32,91031,1.677389,114
32,91032,1.677389,114
32,91033,1.677389,114
32,91034,1.677389,114
32,91035,1.677389,114
32,91036,1.677389,114
32,91037,1.677389,114
32,91038,1.677389,114
32,91039,1.677389,114
32,91040,1.677389,114
32,91041,1.677389,114
32,91042,1.677389,114
32,91043,1.677389,114
32,91044,1.677389,114
32,91047,1.677389,114
32,91048,1.677389,114
32,91049,1.677389,114
32,91050,1.677389,114
32,91051,1.677389,114
32,91052,1.677389,114
32,91053,1.677389,114
32,91068,1.677389,114
32,91203,1.677389,114
32,91213,1.677389,114
32,91223,1.677389,114
32,91225,1.677389,114
32,91226,1.677389,114
32,91227,1.677389,114
32,91228,1.677389,114
32,91320,1.677389,114
32,91321,1.677389,114
32,91322,1.677389,114
32,91352,1.677389,114
32,91353,1.677389,114
32,91354,1.677389,114
32,91355,1.677389,114
32,91356,1.677389,114
32,91357,1.677389,114
32,91368,1.677389,114
32,91369,1.677389,114
32,91371,1.677389,114
32,91373,1.677389,114
32,91374,1.677389,114
32,91375,1.677389,114
39,89989,1.677389,114
39,89990,1.677389,114
39,89991,1.677389,114
39,89992,1.677389,114
39,90781,1.677389,114
39,90782,1.677389,114
39,90783,1.677389,114
39,90785,1.677389,114
39,90786,1.677389,114
39,90791,1.677389,114
39,90792,1.677389,114
39,90793,1.677389,114
39,90951,1.677389,114
39,90952,1.677389,114
39,90953,1.677389,114
39,90954,1.677389,114
39,90955,1.677389,114
39,90957,1.677389,114
39,90958,1.677389,114
39,90959,1.677389,114
39,90981,1.677389,114
39,90982,1.677389,114
39,90990,1.677389,114
39,90991,1.677389,114
39,90992,1.677389,114
39,90999,1.677389,114
39,91000,1.677389,114
39,91012,1.677389,114
39,91014,1.677389,114
39,91015,1.677389,114
39,91016,1.677389,114
39,91043,1.677389,114
39,91045,1.677389,114
39,91105,1.677389,114
39,91106,1.677389,114
39,91107,1.677389,114
39,91110,1.677389,114
39,91111,1.677389,114
39,91113,1.677389,114
39,91182,1.677389,114
39,91183,1.677389,114
42,89210,1.677389,114
42,89221,1.677389,114
45,89360,1.677389,114
45,89361,1.677389,114
45,89363,1.677389,114
45,89364,1.677389,114
45,89365,1.677389,114
45,89379,1.677389,114
45,89403,1.677389,114
45,89419,1.677389,114
45,89420,1.677389,114
45,89421,1.677389,114
45,89422,1.677389,114
45,89424,1.677389,114
45,89425,1.677389,114
45,89426,1.677389,114
45,89427,1.677389,114
45,89428,1.677389,114
45,89429,1.677389,114
45,89430,1.677389,114
45,89431,1.677389,114
45,89436,1.677389,114
45,89437,1.677389,114
45,89438,1.677389,114
45,89439,1.677389,114
45,89453,1.677389,114
45,89454,1.677389,114
45,89455,1.677389,114
45,89456,1.677389,114
45,89457,1.677389,114
45,89472,1.677389,114
45,89473,1.677389,114
45,89474,1.677389,114
45,89475,1.677389,114
45,89611,1.677389,114
45,89612,1.677389,114
45,89613,1.677389,114
45,89728,1.677389,114
45,89729,1.677389,114
45,89750,1.677389,114
45,89751,1.677389,114
45,89752,1.677389,114
45,89753,1.677389,114
45,89754,1.677389,114
45,89755,1.677389,114
45,89756,1.677389,114
45,89757,1.677389,114
45,89758,1.677389,114
45,89759,1.677389,114
45,89760,1.677389,114
45,89762,1.677389,114
45,89763,1.677389,114
45,89770,1.677389,114
45,89771,1.677389,114
45,89772,1.677389,114
45,89774,1.677389,114
45,90278,1.677389,114
45,90279,1.677389,114
45,90280,1.677389,114
45,90281,1.677389,114
45,90288,1.677389,114
45,90356,1.677389,114
45,90357,1.677389,114
45,90358,1.677389,114
45,90359,1.677389,114
45,90360,1.677389,114
45,90361,1.677389,114
45,90362,1.677389,114
45,90363,1.677389,114
45,90364,1.677389,114
45,90365,1.677389,114
45,90366,1.677389,114
45,90367,1.677389,114
45,90389,1.677389,114
45,90390,1.677389,114
45,90391,1.677389,114
45,90392,1.677389,114
45,90393,1.677389,114
45,90394,1.677389,114
45,90395,1.677389,114
45,90396,1.677389,114
45,90397,1.677389,114
45,90398,1.677389,114
45,90399,1.677389,114
45,90400,1.677389,114
45,90401,1.677389,114
45,90402,1.677389,114
45,90450,1.677389,114
45,90453,1.677389,114
45,90462,1.677389,114
45,90483,1.677389,114
45,90484,1.677389,114
45,90486,1.677389,114
45,90487,1.677389,114
45,90681,1.677389,114
45,90682,1.677389,114
45,90683,1.677389,114
45,90684,1.677389,114
45,90685,1.677389,114
45,90686,1.677389,114
45,90687,1.677389,114
45,90688,1.677389,114
45,90689,1.677389,114
45,90690,1.677389,114
45,90694,1.677389,114
45,90698,1.677389,114
45,90701,1.677389,114
45,90702,1.677389,114
45,90703,1.677389,114
45,90704,1.677389,114
45,90946,1.677389,114
45,90947,1.677389,114
45,90948,1.677389,114
48,90420,1.677389,114
48,90422,1.677389,114
48,90423,1.677389,114
48,90424,1.677389,114
56,89315,1.677389,114
56,89316,1.677389,114
56,89317,1.677389,114
56,89318,1.677389,114
56,89319,1.677389,114
56,89320,1.677389,114
56,89321,1.677389,114
56,89325,1.677389,114
56,89326,1.677389,114
56,89327,1.677389,114
56,89356,1.677389,114
56,89376,1.677389,114
56,89377,1.677389,114
56,89378,1.677389,114
56,89486,1.677389,114
56,89489,1.677389,114
56,89490,1.677389,114
56,89500,1.677389,114
56,89503,1.677389,114
56,89504,1.677389,114
56,89505,1.677389,114
56,89506,1.677389,114
56,89507,1.677389,114
56,89508,1.677389,114
56,89509,1.677389,114
56,89510,1.677389,114
56,89511,1.677389,114
56,89512,1.677389,114
56,89513,1.677389,114
56,89514,1.677389,114
56,89515,1.677389,114
56,89516,1.677389,114
56,89517,1.677389,114
56,89530,1.677389,114
56,89572,1.677389,114
56,89573,1.677389,114
56,89574,1.677389,114
56,89576,1.677389,114
56,89577,1.677389,114
56,89579,1.677389,114
56,89580,1.677389,114
56,89581,1.677389,114
56,89582,1.677389,114
56,89587,1.677389,114
56,89592,1.677389,114
56,89593,1.677389,114
56,89594,1.677389,114
56,90004,1.677389,114
56,90005,1.677389,114
56,90006,1.677389,114
56,90007,1.677389,114
56,90008,1.677389,114
56,90009,1.677389,114
56,90010,1.677389,114
56,90011,1.677389,114
56,90012,1.677389,114
56,90013,1.677389,114
56,90231,1.677389,114
56,90232,1.677389,114
56,90233,1.677389,114
56,90234,1.677389,114
56,90235,1.677389,114
56,90236,1.677389,114
56,90243,1.677389,114
56,90244,1.677389,114
56,90245,1.677389,114
56,90246,1.677389,114
56,90247,1.677389,114
56,90248,1.677389,114
56,90264,1.677389,114
56,90265,1.677389,114
56,90266,1.677389,114
56,90267,1.677389,114
56,90268,1.677389,114
56,90432,1.677389,114
56,90433,1.677389,114
56,90434,1.677389,114
56,90435,1.677389,114
56,90436,1.677389,114
56,90437,1.677389,114
56,90438,1.677389,114
56,90439,1.677389,114
56,90440,1.677389,114
56,90441,1.677389,114
56,90442,1.677389,114
56,90443,1.677389,114
56,90444,1.677389,114
56,90445,1.677389,114
56,90447,1.677389,114
56,90448,1.677389,114
56,90449,1.677389,114
56,90450,1.677389,114
56,90451,1.677389,114
56,90452,1.677389,114
56,90462,1.677389,114
56,90463,1.677389,114
56,90464,1.677389,114
56,90465,1.677389,114
56,90466,1.677389,114
56,90467,1.677389,114
56,90468,1.677389,114
56,90469,1.677389,114
56,90470,1.677389,114
56,90471,1.677389,114
56,90472,1.677389,114
56,90474,1.677389,114
56,90475,1.677389,114
56,90476,1.677389,114
56,90477,1.677389,114
56,90478,1.677389,114
56,90484,1.677389,114
56,90485,1.677389,114
56,90486,1.677389,114
56,90487,1.677389,114
56,90488,1.677389,114
56,90489,1.677389,114
56,90490,1.677389,114
56,90491,1.677389,114
56,90494,1.677389,114
56,90495,1.677389,114
56,91115,1.677389,114
56,91281,1.677389,114
56,91282,1.677389,114
56,91290,1.677389,114
56,91291,1.677389,114
56,91292,1.677389,114
56,91293,1.677389,114
56,91294,1.677389,114
56,91295,1.677389,114
56,91296,1.677389,114
56,91297,1.677389,114
56,91298,1.677389,114
56,91299,1.677389,114
56,91300,1.677389,114
56,91301,1.677389,114
56,91302,1.677389,114
56,91303,1.677389,114
56,91307,1.677389,114
56,91310,1.677389,114
56,91311,1.677389,114
56,91312,1.677389,114
56,91313,1.677389,114
56,91326,1.677389,114
56,91327,1.677389,114
56,91328,1.677389,114
56,91344,1.677389,114
56,91345,1.677389,114
56,91346,1.677389,114
56,91347,1.677389,114
56,91348,1.677389,114
56,91349,1.677389,114
56,91350,1.677389,114
56,91448,1.677389,114
56,91449,1.677389,114
56,91450,1.677389,114
56,91451,1.677389,114
56,91452,1.677389,114
56,91453,1.677389,114
56,91454,1.677389,114
56,91456,1.677389,114
56,91491,1.677389,114
56,91492,1.677389,114
56,91493,1.677389,114
56,91494,1.677389,114
56,91495,1.677389,114
56,91531,1.677389,114
56,91532,1.677389,114
60,89194,1.677389,114
60,89195,1.677389,114
60,89199,1.677389,114
60,89200,1.677389,114
60,89202,1.677389,114
60,89204,1.677389,114
60,89205,1.677389,114
60,89206,1.677389,114
60,89207,1.677389,114
60,89209,1.677389,114
60,89210,1.677389,114
60,89211,1.677389,114
60,89212,1.677389,114
60,89213,1.677389,114
60,89222,1.677389,114
60,89223,1.677389,114
60,89226,1.677389,114
60,89227,1.677389,114
60,89228,1.677389,114
60,89229,1.677389,114
60,89230,1.677389,114
60,89231,1.677389,114
60,89233,1.677389,114
60,89234,1.677389,114
60,89235,1.677389,114
60,89236,1.677389,114
60,89237,1.677389,114
60,89238,1.677389,114
60,89245,1.677389,114
60,89246,1.677389,114
60,89247,1.677389,114
60,89248,1.677389,114
60,89249,1.677389,114
60,89250,1.677389,114
60,89251,1.677389,114
60,89252,1.677389,114
60,89253,1.677389,114
60,89254,1.677389,114
60,89255,1.677389,114
60,89261,1.677389,114
60,89262,1.677389,114
60,89265,1.677389,114
60,89282,1.677389,114
60,89283,1.677389,114
60,89284,1.677389,114
60,89285,1.677389,114
60,89286,1.677389,114
60,89287,1.677389,114
60,89288,1.677389,114
60,89289,1.677389,114
60,89290,1.677389,114
60,89291,1.677389,114
60,89294,1.677389,114
60,89295,1.677389,114
60,89296,1.677389,114
60,89297,1.677389,114
60,89298,1.677389,114
60,89299,1.677389,114
60,89300,1.677389,114
60,89976,1.677389,114
60,89977,1.677389,114
60,89980,1.677389,114
60,90621,1.677389,114
60,90624,1.677389,114
60,90626,1.677389,114
60,90627,1.677389,114
60,90628,1.677389,114
60,90631,1.677389,114
60,90632,1.677389,114
60,90668,1.677389,114
60,90669,1.677389,114
60,90670,1.677389,114
60,91118,1.677389,114
60,91130,1.677389,114
60,91131,1.677389,114
60,91132,1.677389,114
60,91138,1.677389,114
60,91139,1.677389,114
60,91140,1.677389,114
60,91141,1.677389,114
60,91142,1.677389,114
60,91143,1.677389,114
60,91144,1.677389,114
60,91145,1.677389,114
60,91146,1.677389,114
60,91147,1.677389,114
60,91148,1.677389,114
60,91149,1.677389,114
60,91150,1.677389,114
60,91151,1.677389,114
60,91152,1.677389,114
60,91154,1.677389,114
60,91155,1.677389,114
60,91156,1.677389,114
60,91157,1.677389,114
60,91158,1.677389,114
60,91159,1.677389,114
60,91160,1.677389,114
60,91161,1.677389,114
60,91162,1.677389,114
60,91163,1.677389,114
60,91164,1.677389,114
60,91165,1.677389,114
60,91166,1.677389,114
60,91167,1.677389,114
60,91168,1.677389,114
60,91172,1.677389,114
60,91173,1.677389,114
60,91174,1.677389,114
60,91175,1.677389,114
60,91176,1.677389,114
60,91177,1.677389,114
60,91181,1.677389,114
60,91182,1.677389,114
60,91183,1.677389,114
60,91186,1.677389,114
60,91187,1.677389,114
60,91188,1.677389,114
60,91189,1.677389,114
60,91190,1.677389,114
60,91191,1.677389,114
60,91192,1.677389,114
60,91193,1.677389,114
60,91194,1.677389,114
60,91195,1.677389,114
60,91197,1.677389,114
60,91198,1.677389,114
60,91199,1.677389,114
60,91200,1.677389,114
60,91201,1.677389,114
60,91202,1.677389,114
